연도,리그,지역,게임횟수,홈게임횟수,승리횟수,패배횟수,득점횟수,타석횟수,안타횟수,2루타횟수,3루타횟수,홈런횟수,타자_볼넷횟수,타자_삼진횟수,도루성공횟수,도루실패횟수,총_실점수,자책점수,평균자책점수,완투_횟수,완봉_횟수,세이브_횟수,소화한 아웃 수,피안타_횟수,피홈런_횟수,볼넷허용_횟수,투수_삼진횟수,실책횟수,병살횟수,수비율,승률,포스트시즌_진출여부,도루시도횟수,도루실패율
1906,AL,X,108,53,34,73,324,3617,856,112,52,9,208,394,69,58,494,366,3.41,86,4,4,2902,951,25,199,384,233,58,0.94,0.3181818181818182,0,128,0.4594137744291593
1906,NL,X,107,53,46,60,347,3427,809,98,47,17,271,394,122,103,437,328,3.13,83,15,7,2830,878,10,317,333,198,51,0.95,0.4342105263157895,0,226,0.4594137744291593
1906,NL,X,106,53,34,71,285,3447,780,95,30,11,249,394,65,55,454,325,3.14,95,7,0,2801,903,16,305,393,235,71,0.94,0.32450331125827814,0,120,0.4594137744291593
1906,AL,X,107,55,65,40,399,3447,793,106,36,4,317,394,149,126,322,227,2.13,81,22,2,2887,848,7,178,380,170,56,0.96,0.6158940397350994,1,276,0.4594137744291593
1906,NL,X,108,55,81,25,493,3512,921,126,49,14,313,394,198,168,266,189,1.75,87,21,7,2914,712,8,312,491,133,70,0.97,0.7631578947368421,1,366,0.4594137744291593
1906,NL,X,108,54,44,60,373,3517,838,98,49,11,276,394,118,100,407,286,2.69,88,8,3,2874,873,9,329,396,182,67,0.95,0.423841059602649,0,219,0.4594137744291593
1906,AL,X,109,55,62,44,464,3798,1061,168,51,8,230,394,142,120,337,229,2.09,93,18,2,2965,837,11,255,371,151,77,0.96,0.5816993464052288,0,262,0.4594137744291593
1906,AL,X,105,54,49,54,362,3451,836,107,44,7,233,394,144,122,419,317,3.06,89,4,2,2801,978,9,272,328,181,60,0.95,0.47651006711409394,0,266,0.4594137744291593
1906,NL,X,107,52,67,39,437,3337,851,113,37,10,394,394,201,170,357,258,2.49,73,13,12,2801,844,9,275,447,159,58,0.96,0.631578947368421,0,372,0.4594137744291593
1906,AL,X,108,53,62,42,450,3566,947,116,53,11,231,394,134,114,380,293,2.78,69,12,3,2849,865,14,245,423,190,48,0.95,0.5960264900662252,0,248,0.4594137744291593
1906,AL,X,104,51,54,46,392,3418,844,149,34,22,269,394,115,98,380,267,2.6,74,13,2,2776,794,6,297,524,186,60,0.95,0.5379310344827586,0,213,0.4594137744291593
1906,NL,X,107,53,49,57,369,3437,828,137,32,8,302,394,125,106,394,271,2.58,75,14,3,2843,840,12,305,350,189,58,0.95,0.46405228758169936,0,232,0.4594137744291593
1906,NL,X,107,53,65,42,436,3521,919,114,46,8,296,394,113,95,329,233,2.21,81,18,1,2851,863,9,216,372,154,76,0.96,0.6078431372549019,0,209,0.4594137744291593
1906,AL,X,107,53,53,51,390,3521,870,101,42,14,256,394,154,130,348,235,2.23,93,11,3,2849,792,9,219,390,202,56,0.95,0.5100671140939598,0,285,0.4594137744291593
1906,NL,X,107,53,36,68,329,3552,836,95,48,7,252,394,77,65,424,319,3.04,82,2,1,2843,872,11,335,391,190,64,0.95,0.3466666666666667,0,142,0.4594137744291593
1906,AL,X,105,52,38,66,362,3469,826,100,45,18,214,394,163,138,464,333,3.25,80,9,0,2776,931,10,315,390,191,54,0.95,0.36666666666666664,0,301,0.4594137744291593
1907,AL,X,108,54,41,62,324,3664,856,107,33,12,213,394,87,74,390,269,2.45,70,11,4,2969,855,15,235,361,188,72,0.95,0.3959731543624161,0,161,0.4594137744291593
1907,NL,X,107,53,45,58,312,3426,794,99,44,12,235,394,84,71,365,251,2.38,87,14,0,2847,852,11,324,335,183,65,0.95,0.4391891891891892,0,156,0.4594137744291593
1907,NL,X,106,51,40,62,351,3514,855,99,42,15,289,394,82,70,456,346,3.33,84,6,1,2809,926,19,320,298,174,89,0.96,0.3918918918918919,0,152,0.4594137744291593
1907,AL,X,109,55,60,44,411,3549,843,104,23,3,294,394,122,103,331,242,2.22,78,11,6,2952,895,9,213,422,162,70,0.96,0.5761589403973509,0,226,0.4594137744291593
1907,NL,X,108,53,74,31,401,3424,856,113,33,9,304,394,164,139,273,184,1.73,79,22,5,2883,737,7,281,410,147,77,0.96,0.7039473684210527,1,303,0.4594137744291593
1907,NL,X,109,56,46,60,368,3476,858,88,62,10,260,394,110,93,363,253,2.41,82,7,1,2837,856,11,310,336,158,82,0.96,0.43137254901960786,0,204,0.4594137744291593
1907,AL,X,110,57,59,46,371,3547,854,127,47,7,234,394,135,114,367,244,2.26,88,14,3,2923,877,5,253,359,184,95,0.96,0.5592105263157895,0,249,0.4594137744291593
1907,AL,X,107,55,64,40,485,3642,968,125,52,7,220,394,134,114,372,248,2.33,84,10,4,2877,896,5,266,358,184,55,0.95,0.6133333333333333,1,248,0.4594137744291593
1907,NL,X,108,53,57,49,401,3411,855,112,33,16,361,394,143,121,357,261,2.45,76,15,9,2879,853,17,258,458,161,52,0.96,0.5359477124183006,0,265,0.4594137744291593
1907,AL,X,106,52,49,54,423,3530,880,105,46,10,212,394,144,122,465,314,3.03,65,7,3,2799,928,9,299,357,235,55,0.94,0.47297297297297297,0,266,0.4594137744291593
1907,AL,X,105,51,61,39,407,3505,891,156,30,15,268,394,95,81,357,247,2.35,74,18,4,2843,774,9,264,552,184,46,0.95,0.6068965517241379,0,177,0.4594137744291593
1907,NL,X,104,52,58,44,358,3307,779,113,45,8,296,394,107,91,333,245,2.43,77,14,2,2727,766,9,295,349,179,72,0.95,0.564625850340136,0,198,0.4594137744291593
1907,NL,X,109,53,63,44,443,3469,882,93,54,13,328,394,184,156,357,243,2.3,77,16,3,2862,844,8,257,347,177,52,0.95,0.5909090909090909,0,341,0.4594137744291593
1907,AL,X,108,53,48,58,379,3656,926,107,44,7,259,394,100,85,388,280,2.61,90,10,6,2900,877,11,246,324,186,67,0.95,0.45394736842105265,0,186,0.4594137744291593
1907,NL,X,108,55,36,70,293,3505,814,84,35,13,218,394,87,74,425,287,2.7,88,13,1,2866,848,14,350,415,244,73,0.94,0.33986928104575165,0,161,0.4594137744291593
1907,AL,X,107,52,34,71,354,3578,870,93,40,8,273,394,156,132,483,326,3.11,74,8,3,2837,968,7,240,399,216,48,0.95,0.32450331125827814,0,288,0.4594137744291593
1908,AL,X,108,53,52,55,394,3533,867,81,61,9,202,394,116,98,359,244,2.28,71,8,4,2898,840,12,254,436,207,49,0.95,0.487012987012987,0,215,0.4594137744291593
1908,NL,X,107,53,37,70,263,3427,730,77,42,19,226,394,79,67,361,263,2.47,82,14,2,2874,815,11,310,374,168,46,0.96,0.34415584415584416,0,146,0.4594137744291593
1908,NL,X,109,54,44,63,375,3591,859,95,30,11,289,394,93,79,435,304,2.79,64,9,0,2948,883,20,296,291,176,62,0.96,0.4090909090909091,0,172,0.4594137744291593
1908,AL,X,109,54,61,44,375,3518,788,101,28,2,324,394,146,123,329,244,2.22,74,16,7,2969,819,7,198,436,163,57,0.96,0.5789473684210527,0,270,0.4594137744291593
1908,NL,X,110,54,69,38,436,3559,886,137,39,13,292,394,148,125,322,238,2.14,75,20,8,3009,795,14,305,467,144,53,0.96,0.6428571428571429,1,274,0.4594137744291593
1908,NL,X,108,53,51,56,342,3415,775,90,53,9,260,394,137,116,380,254,2.37,77,11,5,2906,852,13,290,303,178,50,0.95,0.474025974025974,0,253,0.4594137744291593
1908,AL,X,109,54,62,44,397,3575,854,131,40,12,254,394,123,105,319,224,2.02,75,12,3,2990,820,11,229,383,179,66,0.96,0.5844155844155844,0,228,0.4594137744291593
1908,AL,X,107,54,62,44,452,3580,942,139,60,13,224,394,115,98,382,256,2.4,83,10,3,2885,919,8,222,387,208,66,0.95,0.5882352941176471,1,213,0.4594137744291593
1908,NL,X,109,56,68,39,456,3504,937,127,30,14,345,394,126,107,319,235,2.14,66,17,12,2963,849,18,201,459,173,55,0.96,0.6363636363636364,0,233,0.4594137744291593
1908,AL,X,108,53,35,72,321,3532,833,99,35,9,201,394,161,137,499,336,3.16,62,7,2,2868,901,18,320,409,236,54,0.94,0.33116883116883117,0,298,0.4594137744291593
1908,AL,X,109,54,47,59,340,3545,791,128,35,14,257,394,81,68,393,278,2.56,71,16,2,2940,835,7,287,518,190,47,0.95,0.4444444444444444,0,149,0.4594137744291593
1908,NL,X,108,54,58,49,352,3508,856,135,47,7,233,394,140,118,311,227,2.1,81,15,4,2925,816,5,265,333,166,52,0.96,0.538961038961039,0,258,0.4594137744291593
1908,NL,X,108,53,68,39,409,3576,884,113,68,17,294,394,130,110,328,230,2.12,70,16,6,2944,799,11,284,327,157,51,0.96,0.6363636363636364,0,240,0.4594137744291593
1908,AL,X,108,54,58,48,380,3605,882,121,36,14,240,394,88,74,338,233,2.15,74,10,3,2933,805,4,270,424,165,67,0.96,0.5460526315789473,0,163,0.4594137744291593
1908,NL,X,107,53,34,73,259,3471,773,93,39,11,197,394,105,88,438,280,2.64,67,9,2,2872,851,11,301,369,244,47,0.94,0.3181818181818182,0,193,0.4594137744291593
1908,AL,X,108,54,46,59,335,3528,830,92,51,5,257,394,118,100,377,253,2.34,74,10,4,2921,865,11,243,454,193,62,0.95,0.4407894736842105,0,219,0.4594137744291593
1909,AL,X,106,52,61,44,417,3485,914,105,48,14,243,394,150,127,385,273,2.59,52,7,10,2856,849,12,268,388,203,66,0.95,0.5827814569536424,0,277,0.4594137744291593
1909,NL,X,108,55,38,68,310,3539,809,123,41,11,230,394,98,83,438,333,3.1,88,12,2,2906,893,22,369,415,193,60,0.95,0.35947712418300654,0,182,0.4594137744291593
